PROCEDURE_TYPE,STARTTIME,ENDTIME,IMSI,IMEISV,MSISDN,START_ENODEB_ID,START_CELL_ID,START_MME,END_ENODEB_ID,END_CELL_ID,END_MME,GUMMEI,BEARER_ID,QCI,PDCP_BITRATE_DL,PDCP_VOLUME_DL,PDCP_BITRATE_UL,PDCP_VOLUME_UL,SGW_BYTES_SENT_DL,SGW_PKTS_SENT_DL,SGW_BYTES_RECVD_UL,SGW_PKTS_RECVD_UL,RRC_CONN_SETUP_TIMESTAMP_START,RRC_CONN_SETUP_RRC_RESULT,RRC_CONN_SETUP_RRC_ESTABL_CAUSE,RRC_CONN_SETUP_DURATION,S1_SIG_CONN_SETUP_TIMESTAMP_START,S1_SIG_CONN_SETUP_SIG_CONN_RESULT,S1_SIG_CONN_SETUP_RRC_ESTABL_CAUSE,S1_SIG_CONN_SETUP_DURATION,INITIAL_CTXT_SETUP_TIMESTAMP_START,INITIAL_CTXT_SETUP_INITIAL_CTXT_RESULT,INITIAL_CTXT_SETUP_ERAB_RESULT_ARRAY,INITIAL_CTXT_SETUP_DURATION,INITIAL_CTXT_SETUP_ERAB_QCI_ARRAY,INITIAL_CTXT_SETUP_3GPP_CAUSE_GROUP,INITIAL_CTXT_SETUP_3GPP_CAUSE,UE_CAPABILITY_TIMESTAMP,UE_CAPABILITY_CAP_CATEGORY,ERAB_SETUP_TIMESTAMP_START,ERAB_SETUP_ERAB_RESULT_ARRAY,ERAB_SETUP_ERAB_QCI_ARRAY,ERAB_SETUP_DURATION,RRC_CONN_REESTABLISH_TIMESTAMP_START,RRC_CONN_REESTABLISH_REESTAB_RESULT,RRC_CONN_REESTABLISH_DURATION,RRC_CONN_REESTABLISH_REESTAB_CAUSE,ERABRELEASE_STARTTIME,ERABRELEASE_RELEASE_RESULT,ERABRELEASE_DURATION,ERABRELEASE_S1_RELEASE_CAUSE,ERABRELEASE_INTERNAL_RELEASE_CAUSE,ERABRELEASE_ERAB_REQ_QCI_ARRAY,ERABRELEASE_ERAB_REQ_3GPP_CAUSE_GROUP_ARRAY,ERABRELEASE_ERAB_REQ_3GPP_CAUSE_ARRAY,ENB_UECTXTRELEASE_STARTTIME,ENB_UECTXTRELEASE_DURATION,ENB_UECTXTRELEASE_TRIGGERING_NODE,ENB_UECTXTRELEASE_UE_RELEASE_CAUSE,ENB_UECTXTRELEASE_INTERNAL_RELEASE_CAUSE,ENB_UECTXTRELEASE_3GPP_CAUSE_GROUP,ENB_UECTXTRELEASE_3GPP_CAUSE,ENB_UECTXTRELEASE_ERAB_RELEASE_REQ_QCI_ARRAY,UEMEASMENT_SAMPLE_MEASTIME,UEMEASMENT_SAMPLE_POWER_HEADROOM,UEMEASMENT_SAMPLE_POWER_HEADROOM_PRB_USED,UEMEASMENT_SAMPLE_LAST_PUSCH_NUM_PRB,UEMEASMENT_SAMPLE_LAST_PUSCH_SINR,UEMEASMENT_SAMPLE_LAST_PUSCH_POWER_PER_PRB,UETRAFFICREP_SAMPLE_MEASTIME,UETRAFFICREP_SAMPLE_THP_PDCPVOL_TRUNK_DL,UETRAFFICREP_SAMPLE_THP_TIME_DL,UETRAFFICREP_SAMPLE_THP_PDCPVOL_TRUNK_UL
INITIAL_ATTACH,11/24/2025 15:00:00,11/24/2025 15:00:05,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,0,0,0,0,0,0,0,0,0,0,11/24/2025 15:00:00,FAILURE,4,0.5,11/24/2025 15:00:00,FAILURE,4,3,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRC_SETUP,11/24/2025 15:00:05,11/24/2025 15:00:10,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,0,0,0,0,0,0,0,0,0,0,11/24/2025 15:00:05,SUCCESS,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIAL_CTXT,11/24/2025 15:00:10,11/24/2025 15:00:20,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,0,0,0,0,0,0,0,0,0,0,,,,,11/24/2025 15:00:10,SUCCESS,4,1,11/24/2025 15:00:10,SUCCESS,0;0,1,1;9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT_BEARER_ACTIVATION,11/24/2025 15:00:20,11/24/2025 15:00:30,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,11/24/2025 15:00:20,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEDICATED_BEARER_ACTIVATION,11/24/2025 15:00:30,11/24/2025 15:00:45,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,11/24/2025 15:00:30,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE_REQUEST,11/24/2025 15:00:45,11/24/2025 15:01:00,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,1,210000,105000,45000,45000,0,0,0,0,,,,,11/24/2025 15:00:45,FAILURE,4,3,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERAB_SETUP,11/24/2025 15:01:00,11/24/2025 15:01:30,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,1,720000,110000,156000,48000,0,0,0,0,,,,,,,,,,,,,,3,34,,,11/24/2025 15:01:00,0;1,1;9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERAB_MODIFY,11/24/2025 15:01:30,11/24/2025 15:01:50,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,1,740000,115000,162000,51000,0,0,0,0,,,,,,,,,,,,,,,,,,11/24/2025 15:01:30,0;0,1;9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACKING_AREA_UPDATE,11/24/2025 15:01:50,11/24/2025 15:02:05,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/24/2025 15:01:58,20,,8,,,11/24/2025 15:01:55,4000,,1500
ERAB_RELEASE,11/24/2025 15:02:05,11/24/2025 15:02:20,31041000000000,19724123000000,19725551045,1,12314,331402800000,1,12314,331402800000,,5,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11/24/2025 15:02:05,1,1,10,0,1;9,,,,,,,,,,,,,,,,,,,,
